group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,abandon_tolerance
L001,11:35,2,38,walkin,,20
L002,11:38,4,52,reservation,11:40,25
L003,11:44,1,30,walkin,,15
L004,11:48,3,45,walkin,,20
L005,11:55,2,40,reservation,11:50,25
L006,12:00,5,70,walkin,,30
L007,12:06,2,35,walkin,,20
L008,12:12,4,60,walkin,,30
L009,12:18,6,75,reservation,12:15,35
L010,12:24,3,50,walkin,,20
L011,12:31,2,42,walkin,,18
L012,12:40,5,65,walkin,,25
L013,12:48,4,55,reservation,12:45,30
L014,12:56,2,40,walkin,,20
L015,13:04,3,48,walkin,,18
L016,13:10,2,35,walkin,,15
