group_id,arrival_time,group_size,dining_duration,group_type,reservation_time,abandon_tolerance
S001,18:00,2,70,walkin,,
S002,18:03,4,85,walkin,,
S003,18:06,3,78,reservation,18:05,
S004,18:09,5,92,walkin,,
S005,18:12,2,65,walkin,,
S006,18:15,6,100,reservation,18:10,
S007,18:18,4,88,walkin,,
S008,18:22,2,72,walkin,,
S009,18:26,7,105,reservation,18:20,
S010,18:30,3,80,walkin,,
S011,18:34,5,95,walkin,,
S012,18:38,2,68,reservation,18:30,
S013,18:42,4,90,walkin,,
S014,18:47,6,98,walkin,,
S015,18:52,2,60,walkin,,
S016,18:58,3,82,reservation,18:50,
S017,19:05,5,94,walkin,,
S018,19:12,2,66,walkin,,
S019,19:20,4,89,reservation,19:10,
S020,19:28,3,76,walkin,,
